0.000079	26475
0.000041	62586
0.000178	265214
0.000280	82168
0.000492	325729
0.000319	317080
0.000597	403394
0.000383	1965206
0.001555	2394385
0.001704	685230
0.002708	1696415
0.004841	3774768
0.007756	1632803
0.017392	2601977
0.009776	3997962
0.013065	4847571
0.057144	3072441
0.433905	8860450
1.167088	17043780
0.701940	41652230
1.083208	65608366
0.001301	358937
0.002653	456857
0.005441	559175
0.014105	660444
0.035114	755026
0.055206	837036
0.097362	904525
0.219552	955990
0.002808	102869
0.006040	199881
0.011022	388707
0.035109	755026
0.058160	1465546
0.174715	2845797
0.531772	5520326
0.834995	10708196

