36365		0.000084	26475
2024		0.000098	62586
239718		0.000307	265214
600257		0.000588	82168
4980044		0.000421	325729
2145521		0.000528	317080
3986507		0.000912	403394
120676		0.000968	1965206
4314523		0.003870	2394385
53725684		0.001838	685230
26241728		0.004482	1696415
7515023		0.008010	3774768
32557458		0.012646	1632803
35105509		0.033690	2601977
98673840		0.017697	3997962
125630993		0.023150	4847571
391668654		0.095117	3072441
139685887		0.694135	8860450
325897951		1.902747	17043780
1032300520		1.052088	41652230
2267818608		1.756034	65608366
3379767		0.002512	358937
7093994		0.005797	456857
8973742		0.011582	559175
27226855		0.031965	660444
56151843		0.070992	755026
52305514		0.100050	837036
88837046		0.186180	904525
190604472		0.393077	955990
10728625		0.008124	102869
24675747		0.018771	199881
18652012		0.023538	388707
56151843		0.070988	755026
37765420		0.101211	1465546
94881666		0.290886	2845797
273455101	0.899090	5520326
157645735		1.270330	10708196

